entry_time,exit_time,spread_side,long_symbol,short_symbol,entry_z,exit_z,pnl,holding_bars,holding_hours,exit_reason
2026-02-15 14:05:00+00:00,2026-02-15 17:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.1421,0.4084,34.1128,44,3.67,signal
2026-02-16 00:40:00+00:00,2026-02-16 06:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8377,1.4297,-8.9549,72,6.0,timeout
2026-02-16 12:05:00+00:00,2026-02-16 12:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.2866,0.5617,16.3129,2,0.17,signal
2026-02-16 12:55:00+00:00,2026-02-16 15:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.7123,-0.1345,31.1569,28,2.33,signal
2026-02-16 16:00:00+00:00,2026-02-16 17:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.9414,0.2939,22.4079,21,1.75,signal
2026-02-16 18:50:00+00:00,2026-02-17 00:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0698,0.3408,-5.241,63,5.25,signal
2026-02-17 01:30:00+00:00,2026-02-17 02:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.4481,1.8357,-0.3617,9,0.75,signal
2026-02-18 22:25:00+00:00,2026-02-19 00:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-4.8455,-5.0145,-16.5517,22,1.83,signal
2026-02-19 04:15:00+00:00,2026-02-19 07:20:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-4.0087,0.645,38.4942,37,3.08,signal
2026-02-19 13:55:00+00:00,2026-02-19 14:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.78,-0.6293,35.55,3,0.25,signal
2026-02-19 15:15:00+00:00,2026-02-19 17:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0781,-0.2029,8.5157,21,1.75,signal
2026-02-19 19:40:00+00:00,2026-02-19 22:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6146,0.3376,14.95,35,2.92,signal
2026-02-20 18:35:00+00:00,2026-02-20 22:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.2978,0.4019,0.6173,44,3.67,signal
2026-02-21 00:20:00+00:00,2026-02-21 01:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.7553,0.7108,38.7053,8,0.67,signal
2026-02-21 06:35:00+00:00,2026-02-21 09:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1481,-0.4722,13.789,29,2.42,signal
2026-02-21 10:05:00+00:00,2026-02-21 11:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.4957,-0.4246,21.9957,12,1.0,signal
2026-02-21 13:30:00+00:00,2026-02-21 14:20:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6114,-0.6322,19.0499,10,0.83,signal
2026-02-21 15:20:00+00:00,2026-02-21 16:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-4.2924,-0.096,48.4471,8,0.67,signal
2026-02-21 23:10:00+00:00,2026-02-22 03:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.972,-0.3996,7.054,47,3.92,signal
2026-02-22 12:15:00+00:00,2026-02-22 15:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6137,-0.5041,15.088,34,2.83,signal
2026-02-22 21:20:00+00:00,2026-02-23 01:20:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1719,-0.6315,28.8066,48,4.0,signal
2026-02-23 14:35:00+00:00,2026-02-23 15:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.9946,0.256,36.7295,6,0.5,signal
2026-02-23 16:10:00+00:00,2026-02-23 16:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1892,0.6174,27.7307,4,0.33,signal
2026-02-23 17:45:00+00:00,2026-02-23 20:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0491,-0.3176,8.9114,29,2.42,signal
2026-02-24 14:45:00+00:00,2026-02-24 15:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.6994,-0.5997,37.356,6,0.5,signal
2026-02-24 22:25:00+00:00,2026-02-25 00:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.8614,-0.2678,22.8566,20,1.67,signal
2026-02-25 00:45:00+00:00,2026-02-25 01:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8452,-0.7005,41.6829,5,0.42,signal
2026-02-25 02:20:00+00:00,2026-02-25 05:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-5.3165,-8.0394,-36.783,32,2.67,stop
